,Region,Disease,Age_group,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
12,Российская Федерация,Болезни мочеполовой системы,15-17 лет,5479.5,5688.3,5757.9,5922.3,6021.0,6201.2,6280.9,6296.9,6529.1,6561.0,5904.4,5639.7
13,Российская Федерация,Болезни мочеполовой системы,18 лет и старше,4878.2,5177.2,5155.7,5139.5,5080.7,5074.4,5203.3,5249.7,5291.1,5225.1,4976.5,4911.0
14,Российская Федерация,Болезни мочеполовой системы,Всего,4621.1,4889.2,4883.1,4871.8,4816.8,4821.1,4934.8,4963.8,4985.9,4897.9,4639.8,4564.5
15,Российская Федерация,Болезни нервной системы,0-14 лет,3679.4,3810.1,4044.7,4314.9,4305.8,4338.7,4336.1,4291.2,4233.6,3983.6,3757.3,3727.2
16,Российская Федерация,Болезни нервной системы,15-17 лет,3102.2,3298.8,3475.9,3707.2,3797.4,3862.2,3886.2,4027.2,4156.8,4237.9,3937.5,3861.7
17,Российская Федерация,Болезни нервной системы,18 лет и старше,1040.6,1133.7,1138.5,1140.1,1102.6,1069.5,1059.8,1032.3,1054.8,1043.3,995.2,973.6
18,Российская Федерация,Болезни нервной системы,Всего,1534.2,1626.8,1661.3,1704.2,1672.8,1652.6,1647.7,1628.4,1649.5,1620.2,1541.3,1522.5
19,Российская Федерация,Болезни органов дыхания,0-14 лет,102766.4,105580.1,108558.4,108458.7,121654.3,119191.3,121547.6,119689.1,119828.7,115476.2,115757.8,118704.4
20,Российская Федерация,Болезни органов дыхания,15-17 лет,52478.6,55572.9,57893.2,57232.4,71075.3,66021.4,67904.2,67802.5,68643.3,68167.8,67304.8,68810.3
21,Российская Федерация,Болезни органов дыхания,18 лет и старше,14515.3,14377.7,14669.1,15097.3,16316.4,15310.1,16235.6,15341.8,15815.5,15128.0,15455.9,16287.1
22,Российская Федерация,Болезни органов дыхания,Всего,29525.3,29713.7,30227.6,30446.5,33928.7,32611.9,33903.7,33120.7,33881.6,33300.6,33785.5,35192.4
23,Российская Федерация,Болезни органов пищеварения,0-14 лет,8596.7,8581.8,8591.1,8698.7,8574.6,8446.1,8241.1,8352.6,8242.3,7908.1,7234.6,7128.4
24,Российская Федерация,Болезни органов пищеварения,15-17 лет,6010.5,6214.8,6473.7,6841.7,7258.2,7132.5,7169.1,7533.2,7782.9,8147.3,7315.0,6959.3
25,Российская Федерация,Болезни органов пищеварения,18 лет и старше,2457.9,2450.1,2368.5,2355.8,2358.6,2280.5,2273.8,2404.6,2452.7,2620.9,2620.3,2694.8
26,Российская Федерация,Болезни органов пищеварения,Всего,3546.1,3525.9,3450.8,3458.9,3454.0,3366.9,3336.7,3482.5,3526.6,3652.4,3526.6,3568.0
27,Российская Федерация,Болезни системы кровообращения,0-14 лет,895.5,912.4,956.7,941.8,910.0,862.8,915.8,876.8,821.4,728.3,722.2,701.6
28,Российская Федерация,Болезни системы кровообращения,15-17 лет,1463.2,1576.9,1691.7,1716.8,1813.3,1769.9,1776.8,1746.3,1766.5,1729.0,1641.6,1656.5
29,Российская Федерация,Болезни системы кровообращения,18 лет и старше,2622.9,3037.4,2964.2,3018.3,3004.2,2991.7,3022.5,3040.8,3456.9,3357.5,3668.9,3749.3
30,Российская Федерация,Болезни системы кровообращения,Всего,2308.9,2657.5,2617.2,2663.4,2650.6,2631.2,2662.4,2665.8,2989.1,2874.9,3116.7,3172.1
31,Российская Федерация,Болезни уха и сосцевидного отростка,0-14 лет,4856.0,4784.0,5067.8,5007.6,5167.3,5419.5,5521.1,5449.2,5275.9,5202.9,4981.3,4961.9
32,Российская Федерация,Болезни уха и сосцевидного отростка,15-17 лет,2486.5,2547.9,2698.6,2674.7,3103.6,3364.5,3356.3,3467.5,3592.7,3670.1,3652.1,3658.3
33,Российская Федерация,Болезни уха и сосцевидного отростка,18 лет и старше,1953.8,2026.6,2034.4,2018.1,2146.0,2202.3,2249.1,2293.5,2287.0,2235.0,2138.4,2106.9
34,Российская Федерация,Болезни уха и сосцевидного отростка,Всего,2412.8,2457.7,2506.9,2483.8,2630.6,2724.9,2782.4,2818.8,2800.0,2768.8,2659.1,2636.3
35,Российская Федерация,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",0-14 лет,1817.8,1866.0,1860.9,1809.2,1715.2,1669.6,1722.2,1704.6,1558.4,1492.8,1486.6,1566.9
36,Российская Федерация,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",15-17 лет,2460.5,2439.6,2525.0,2528.3,2526.5,2536.6,2441.0,2566.4,2556.3,2670.4,2841.1,2813.2
37,Российская Федерация,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",18 лет и старше,708.1,976.4,955.3,964.4,859.1,852.2,849.1,884.0,915.9,988.8,1250.6,1304.1
38,Российская Федерация,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",Всего,958.4,1173.8,1152.9,1147.3,1043.3,1029.8,1032.1,1062.1,1065.0,1118.4,1333.8,1390.4
39,Российская Федерация,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",0-14 лет,938.7,1005.9,1104.5,1211.2,1203.3,1193.9,1214.4,1198.9,1172.1,1139.2,1096.1,1100.0
40,Российская Федерация,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",15-17 лет,315.4,342.7,335.1,355.0,382.9,366.9,360.0,351.0,345.1,345.3,324.0,361.4
41,Российская Федерация,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",18 лет и старше,19.5,20.2,20.2,19.3,19.1,19.4,18.9,14.9,14.4,13.1,11.3,10.7
42,Российская Федерация,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",Всего,171.0,180.5,192.3,207.8,208.6,207.7,211.7,208.8,208.1,209.9,202.7,206.0
43,Российская Федерация,Все заболевания,0-14 лет,173810.4,177511.3,182904.4,182714.2,194394.2,191132.6,193189.9,191602.7,189135.1,181030.9,177588.1,179444.1
44,Российская Федерация,Все заболевания,15-17 лет,112673.7,118382.2,123547.5,124944.3,141503.9,136829.8,138419.4,139596.4,141883.8,143109.3,137383.8,137181.8
45,Российская Федерация,Все заболевания,18 лет и старше,53832.1,55525.6,55624.1,55914.6,56797.3,55425.9,56306.7,55879.9,56472.6,55259.5,54868.4,55156.8
46,Российская Федерация,Все заболевания,Всего,74587.8,76387.1,77100.3,77199.7,80246.3,78517.5,79740.7,79471.1,80030.3,78923.0,77815.7,78602.1
47,Российская Федерация,Некоторые инфекционные и паразитарные болезни,0-14 лет,8988.9,9006.5,9465.2,9242.7,8631.1,8249.4,8226.6,8350.9,7938.8,7969.7,7280.5,7178.2
48,Российская Федерация,Некоторые инфекционные и паразитарные болезни,15-17 лет,4260.4,4427.3,4277.6,4269.8,4121.8,4013.4,3947.4,3871.8,3807.2,3998.2,3514.2,3443.5
49,Российская Федерация,Некоторые инфекционные и паразитарные болезни,18 лет и старше,2734.5,2735.7,2693.0,2613.6,2490.1,2363.7,2279.6,2205.6,2118.5,2036.8,1850.5,1832.9
50,Российская Федерация,Некоторые инфекционные и паразитарные болезни,Всего,3742.0,3738.8,3752.0,3653.8,3464.4,3304.5,3238.1,3209.8,3093.3,3079.4,2811.6,2788.5
51,Российская Федерация,Новообразования,0-14 лет,344.7,356.8,384.5,413.3,433.3,449.7,464.8,485.8,483.3,472.9,477.8,475.6
52,Российская Федерация,Новообразования,15-17 лет,316.4,315.9,342.7,338.8,368.8,388.8,395.8,421.0,444.4,479.5,501.1,469.2
53,Российская Федерация,Новообразования,18 лет и старше,1108.1,1149.7,1158.2,1151.4,1221.1,1230.0,1258.1,1312.8,1288.6,1322.0,1302.8,1302.1
54,Российская Федерация,Новообразования,Всего,955.8,994.9,1011.0,1012.2,1074.5,1085.2,1110.2,1157.6,1136.3,1157.5,1141.8,1138.3
55,Российская Федерация,"Отдельные состояния, возникающие в перинатальном периоде",0-14 лет,3136.0,3224.2,3331.2,3392.4,3266.9,3162.9,2977.2,2917.9,2706.8,2436.6,2227.1,2052.3
56,Российская Федерация,Психические расстройства и расстройства поведения,0-14 лет,862.0,804.1,815.1,770.0,719.3,667.0,629.2,608.3,589.9,572.3,1080.9,910.9
57,Российская Федерация,Психические расстройства и расстройства поведения,15-17 лет,1276.4,1293.6,1368.9,1421.4,1483.0,1397.7,1234.1,1105.2,1142.4,1129.4,1080.9,910.9
58,Российская Федерация,Психические расстройства и расстройства поведения,18 лет и старше,661.0,638.6,600.7,597.7,560.0,559.2,529.5,505.5,485.9,466.0,452.0,407.2
59,Российская Федерация,Психические расстройства и расстройства поведения,Всего,720.7,692.6,663.8,653.8,614.9,602.5,566.8,539.5,521.2,501.7,484.9,442.9
60,Российская Федерация,"Травмы, отравления и другие последствия воздействия внешних причин",0-14 лет,10475.1,10239.1,10701.1,10656.5,10598.7,10723.6,10862.0,11039.4,10707.9,10266.3,10428.6,10521.1
61,Российская Федерация,"Травмы, отравления и другие последствия воздействия внешних причин",15-17 лет,12250.8,12749.4,13795.0,14606.6,15051.9,15640.4,16039.2,16182.4,16742.2,17627.5,17322.5,17462.0
62,Российская Федерация,"Травмы, отравления и другие последствия воздействия внешних причин",18 лет и старше,8557.0,8507.7,8693.3,8656.1,8529.1,8698.9,8727.8,8818.0,8722.7,8463.8,8467.3,8279.2
63,Российская Федерация,"Травмы, отравления и другие последствия воздействия внешних причин",Всего,9021.9,8954.6,9198.3,9172.5,9058.3,9228.3,9282.4,9384.8,9267.9,9012.8,8467.3,8279.2
64,Белгородская область,"Беременность, роды и послеродовой период",15-17 лет,1181.7,2287.8,2258.2,1704.4,2520.6,1539.2,1362.8,1437.8,980.4,1261.7,1221.4,875.6
65,Белгородская область,"Беременность, роды и послеродовой период",18 лет и старше,5249.8,5976.9,4796.6,4985.9,5791.3,5287.8,5197.0,5469.2,5373.0,5928.4,5551.7,5567.6
66,Белгородская область,"Беременность, роды и послеродовой период",Всего,4452.8,5196.3,4236.4,4392.9,5165.4,4684.9,4585.2,4839.8,4730.8,5215.7,4879.2,4868.6
67,Белгородская область,Болезни глаза и его придаточного аппарата,0-14 лет,5747.6,5576.1,5538.1,5050.5,5117.5,5325.5,4968.6,5347.5,5655.3,5362.9,5841.5,6187.0
68,Белгородская область,Болезни глаза и его придаточного аппарата,15-17 лет,5690.7,6133.4,6607.8,5954.1,6234.0,6653.2,6207.1,6817.2,6891.4,7357.0,7723.9,9498.4
69,Белгородская область,Болезни глаза и его придаточного аппарата,18 лет и старше,5135.9,5164.7,5375.1,4512.3,3849.5,4463.7,4597.2,5039.8,4515.2,3700.9,3074.4,3007.5
70,Белгородская область,Болезни глаза и его придаточного аппарата,Всего,5249.2,5264.4,5447.3,4638.6,4103.2,4653.0,4701.9,5138.5,4748.5,4046.3,3617.4,3665.9
71,Белгородская область,Болезни костно-мышечной системы и соединительной ткани,0-14 лет,3908.8,4067.8,4215.8,3977.4,3737.9,3587.4,3702.0,3442.2,3432.3,3573.1,3157.2,2924.5
72,Белгородская область,Болезни костно-мышечной системы и соединительной ткани,15-17 лет,7381.4,6917.4,6539.5,6459.7,7066.3,7550.6,7181.7,7558.5,7219.1,7502.0,7029.3,6951.4
73,Белгородская область,Болезни костно-мышечной системы и соединительной ткани,18 лет и старше,4969.0,5244.2,5099.6,4785.7,4727.5,4659.5,4880.3,5044.2,4624.1,3856.8,3504.9,3431.3
74,Белгородская область,Болезни костно-мышечной системы и соединительной ткани,Всего,4935.5,5156.4,5037.5,4736.8,4669.8,4605.1,4790.3,4894.3,4525.0,3906.3,3504.9,3431.3
75,Белгородская область,Болезни мочеполовой системы,0-14 лет,3247.0,3428.1,3371.6,3123.4,3061.2,2850.7,2760.3,2879.7,2764.6,2618.9,2874.9,2794.1
76,Белгородская область,Болезни мочеполовой системы,15-17 лет,7179.8,7381.5,7009.7,7818.7,9177.6,8871.6,9088.9,9672.9,9929.7,10663.0,9934.3,10355.0
77,Белгородская область,Болезни мочеполовой системы,18 лет и старше,6054.2,6647.5,6726.3,6229.4,5830.4,5912.1,6513.1,6580.0,6686.8,6304.0,6862.7,7073.0
78,Белгородская область,Болезни мочеполовой системы,Всего,5711.7,6236.3,6280.5,5864.0,5562.1,5586.1,6071.2,6149.8,6209.7,5854.9,6329.1,6493.8
79,Белгородская область,Болезни нервной системы,0-14 лет,4839.2,5404.4,5346.0,5083.2,5659.8,5568.1,5395.0,4724.5,5431.4,4862.0,5307.2,5007.1
80,Белгородская область,Болезни нервной системы,15-17 лет,4730.8,4906.1,4800.1,4645.3,5871.6,5988.7,5759.7,5743.1,6165.4,6591.6,6322.1,7032.2
81,Белгородская область,Болезни нервной системы,18 лет и старше,2360.5,2433.9,1893.2,1624.7,1633.2,1591.0,1744.7,1861.5,1740.7,1367.9,1144.3,1189.0
82,Белгородская область,Болезни нервной системы,Всего,2825.2,2953.3,2481.7,2207.1,2327.6,2280.5,2387.6,2388.4,2402.7,2031.4,1914.9,1929.8
83,Белгородская область,Болезни органов дыхания,0-14 лет,87252.7,86452.0,90014.1,83876.1,94601.1,89986.9,86763.8,81467.2,81626.9,77533.6,79486.9,80390.6
84,Белгородская область,Болезни органов дыхания,15-17 лет,55136.3,51685.5,57872.5,61828.9,84326.0,75642.2,65743.3,71752.0,73447.3,84095.8,77429.1,84904.6
85,Белгородская область,Болезни органов дыхания,18 лет и старше,12966.7,12543.7,13889.1,12913.1,13826.1,13049.0,13976.5,13996.6,14199.6,13695.7,14087.9,15340.8
86,Белгородская область,Болезни органов дыхания,Всего,25502.6,24472.2,26048.2,24385.4,27270.4,25661.8,25872.4,25370.1,25679.6,25182.8,25735.5,27195.7
87,Белгородская область,Болезни органов пищеварения,0-14 лет,6093.4,6150.2,6050.9,5763.8,6175.8,6190.8,6114.2,5755.7,5569.5,4823.7,4251.1,4268.4
88,Белгородская область,Болезни органов пищеварения,15-17 лет,4847.3,4730.6,5263.8,5115.1,5791.3,5352.5,5042.7,4949.1,5908.2,5579.4,6200.4,5210.4
89,Белгородская область,Болезни органов пищеварения,18 лет и старше,2328.5,2460.9,2653.3,2567.4,2920.9,2813.4,2434.6,2244.1,2094.8,1990.0,1863.5,2100.2
90,Белгородская область,Болезни органов пищеварения,Всего,2982.2,3070.4,3222.2,3096.8,3463.7,3360.4,3035.7,2826.8,2708.1,2511.7,2340.3,2515.5
91,Белгородская область,Болезни системы кровообращения,0-14 лет,2328.8,2361.5,2560.3,2099.0,2314.8,2207.1,2044.0,1869.5,1750.1,1523.1,1396.0,1224.9
92,Белгородская область,Болезни системы кровообращения,15-17 лет,3424.0,3659.5,3138.8,2601.5,3257.0,3579.8,3149.5,3314.9,3181.7,3290.7,3338.5,3742.3
93,Белгородская область,Болезни системы кровообращения,18 лет и старше,5013.0,5681.4,5069.7,4587.7,4732.1,4628.4,4991.0,5179.6,5525.4,4697.0,4207.0,4527.5
94,Белгородская область,Болезни системы кровообращения,Всего,4556.9,5133.9,4649.4,4175.5,4351.0,4261.2,4517.6,4651.5,4910.4,4179.1,3753.6,3995.8
95,Белгородская область,Болезни уха и сосцевидного отростка,0-14 лет,6149.6,5718.1,6035.4,5145.4,5635.9,6081.6,6005.7,6241.3,6170.1,6115.9,5621.1,5239.4
96,Белгородская область,Болезни уха и сосцевидного отростка,15-17 лет,3845.0,3742.8,4232.2,3508.6,5474.1,5609.8,5617.9,5949.5,6374.7,7278.2,7252.4,6974.1
97,Белгородская область,Болезни уха и сосцевидного отростка,18 лет и старше,2149.4,1979.3,2343.2,2134.0,2176.0,2318.0,2562.3,2848.2,2800.9,2568.1,2369.4,2458.6
98,Белгородская область,Болезни уха и сосцевидного отростка,Всего,2796.7,2573.1,2923.1,2595.1,2761.2,2942.4,3144.9,3426.3,3392.1,3226.7,2992.7,3004.7
99,Белгородская область,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",0-14 лет,1315.6,1474.7,1407.9,1170.9,1220.8,1057.0,967.3,957.4,929.1,864.0,967.3,783.6
100,Белгородская область,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",15-17 лет,1845.7,1868.4,1750.8,1622.5,1653.0,1620.7,1282.2,1263.6,1554.4,1678.4,1868.2,1968.4
101,Белгородская область,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",18 лет и старше,741.8,1102.5,978.3,897.3,793.9,815.6,792.5,927.2,886.1,781.7,708.1,783.3
102,Белгородская область,"Болезни эндокринной системы, расстройства питания и нарушения обмена веществ",Всего,876.2,1187.9,1068.1,961.2,881.2,874.8,833.0,941.9,911.4,817.0,777.5,813.6
103,Белгородская область,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",0-14 лет,572.8,564.5,604.3,669.5,731.6,764.2,652.1,595.1,657.9,624.2,819.2,789.4
104,Белгородская область,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",15-17 лет,290.7,360.0,294.5,328.1,352.5,295.8,281.6,242.2,273.1,236.5,400.5,346.2
105,Белгородская область,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",18 лет и старше,9.5,9.7,13.2,13.2,9.5,14.4,9.7,10.4,8.5,4.1,5.5,6.2
106,Белгородская область,"Врожденные аномалии (пороки развития), деформации и хромосомные нарушения",Всего,102.7,101.8,105.2,114.2,120.1,126.7,108.7,100.6,110.3,104.2,140.4,136.2
107,Белгородская область,Все заболевания,0-14 лет,161497.2,160334.2,165759.0,158863.1,170847.6,165764.2,164985.5,155890.1,157999.3,146062.3,150248.4,151728.5
108,Белгородская область,Все заболевания,15-17 лет,126416.3,124057.6,129123.4,133314.2,163642.1,152382.5,142263.1,151447.9,158936.3,178353.6,160843.1,170251.4
109,Белгородская область,Все заболевания,18 лет и старше,60566.5,62049.4,63205.4,59247.0,59182.4,57861.8,60537.7,62275.9,60731.6,56917.9,53083.2,57083.8
110,Белгородская область,Все заболевания,Всего,78011.4,78354.7,79856.0,75549.3,78001.9,75768.0,77851.3,78335.8,77655.4,74195.75,70736.1,74637.4
111,Белгородская область,Некоторые инфекционные и паразитарные болезни,0-14 лет,11365.5,11934.4,13494.7,15720.7,15766.5,16533.4,18858.8,17580.4,19595.5,16743.0,19895.5,19419.9
112,Белгородская область,Некоторые инфекционные и паразитарные болезни,15-17 лет,4926.9,5016.2,4614.6,4951.9,5291.9,5589.5,7487.2,6958.3,9458.6,11596.3,8869.7,9364.5
113,Белгородская область,Некоторые инфекционные и паразитарные болезни,18 лет и старше,2672.7,2736.5,2764.7,2838.8,2592.1,2172.1,2361.5,2481.9,2127.0,1916.3,1293.3,1659.0
114,Белгородская область,Некоторые инфекционные и паразитарные болезни,Всего,4010.3,4105.8,4302.3,4673.4,4490.8,4259.8,4841.8,4765.9,4872.5,4414.8,4340.4,4607.6
115,Белгородская область,Новообразования,0-14 лет,351.5,291.1,257.4,270.7,267.1,284.3,258.3,326.6,374.5,386.1,306.7,318.5
116,Белгородская область,Новообразования,15-17 лет,411.4,313.9,281.5,268.9,233.1,431.5,387.4,349.6,277.7,325.5,286.4,381.6
117,Белгородская область,Новообразования,18 лет и старше,1576.9,1716.5,1977.7,1697.9,1557.4,1515.7,1451.5,1651.5,1407.7,1415.4,1189.7,1397.0
118,Белгородская область,Новообразования,Всего,1347.5,1457.6,1674.5,1450.8,1336.0,1311.1,1249.5,1423.0,1225.5,1231.3,1031.2,1204.0
119,Белгородская область,"Отдельные состояния, возникающие в перинатальном периоде",0-14 лет,2961.5,3100.5,3037.8,3562.7,3334.0,3466.3,3650.8,2920.4,2784.7,2450.5,2473.9,2424.0
120,Белгородская область,Психические расстройства и расстройства поведения,0-14 лет,333.7,360.2,360.9,424.3,360.5,274.8,263.9,279.9,301.7,300.6,1006.4,735.3
121,Белгородская область,Психические расстройства и расстройства поведения,15-17 лет,1903.3,1782.2,1788.2,1878.9,2136.7,1827.4,952.6,871.9,926.3,1024.8,1006.4,735.3
122,Белгородская область,Психические расстройства и расстройства поведения,18 лет и старше,635.2,644.7,734.3,627.2,549.8,534.1,479.5,488.2,439.7,403.0,394.1,365.6
123,Белгородская область,Психические расстройства и расстройства поведения,Всего,653.8,656.0,726.1,645.4,576.9,540.2,464.8,470.4,433.6,403.2,404.4,388.2
124,Белгородская область,"Травмы, отравления и другие последствия воздействия внешних причин",0-14 лет,12176.1,9551.9,10253.2,10631.7,10475.9,11036.5,10944.6,10483.4,10218.3,9854.9,11834.1,13939.5
125,Белгородская область,"Травмы, отравления и другие последствия воздействия внешних причин",15-17 лет,14537.9,13733.6,14466.9,15693.0,15207.9,14092.4,12939.4,16058.4,17613.1,21862.5,17399.7,17240.7
126,Белгородская область,"Травмы, отравления и другие последствия воздействия внешних причин",18 лет и старше,8022.2,7535.7,8014.7,8097.3,8118.9,8276.0,8045.9,8350.1,8312.6,8546.0,8540.9,8782.1
127,Белгородская область,"Травмы, отравления и другие последствия воздействия внешних причин",Всего,8923.7,8089.1,8581.3,8721.3,8679.4,8843.7,8612.2,8891.5,8854.5,9083.1,8540.9,8782.1
128,Брянская область,"Беременность, роды и послеродовой период",15-17 лет,823.6,1060.7,1363.8,1130.4,1444.3,1120.2,1026.1,1363.4,1065.1,1065.9,848.4,705.5
129,Брянская область,"Беременность, роды и послеродовой период",18 лет и старше,6847.2,6004.8,6289.9,6908.7,7355.8,6586.8,7161.4,7226.4,7126.8,7462.7,6665.8,5753.2
130,Брянская область,"Беременность, роды и послеродовой период",Всего,5692.7,5074.7,5386.1,5942.4,6390.2,5731.4,6225.2,6315.0,6220.6,6493.0,5784.8,4981.6
131,Брянская область,Болезни глаза и его придаточного аппарата,0-14 лет,5560.9,5143.3,5836.4,5658.5,5510.5,5533.7,5509.0,6181.8,5918.6,6162.0,6089.5,5717.9
132,Брянская область,Болезни глаза и его придаточного аппарата,15-17 лет,5105.9,4933.3,6857.2,6030.4,6768.9,6976.8,7115.9,7191.4,7757.4,7745.8,7248.0,6641.6
133,Брянская область,Болезни глаза и его придаточного аппарата,18 лет и старше,3174.3,3420.4,3795.5,3744.4,3179.0,2858.9,2989.8,3177.1,3231.7,3038.7,2778.5,2727.8
134,Брянская область,Болезни глаза и его придаточного аппарата,Всего,3619.4,3736.7,4214.7,4103.6,3638.7,3381.7,3489.5,3743.2,3765.7,3648.3,3415.6,3304.2
135,Брянская область,Болезни костно-мышечной системы и соединительной ткани,0-14 лет,2765.5,3028.9,3261.9,3360.1,3223.3,3272.5,3142.7,2820.2,2370.4,2436.8,2242.9,1909.1
136,Брянская область,Болезни костно-мышечной системы и соединительной ткани,15-17 лет,4181.0,4615.3,6095.7,6732.7,5963.9,6708.3,6353.1,6677.2,6199.5,7023.7,6025.8,4920.7
137,Брянская область,Болезни костно-мышечной системы и соединительной ткани,18 лет и старше,4297.7,4203.5,4412.7,4036.2,3876.9,3542.8,3646.8,3587.1,3069.2,2614.8,2456.2,2406.2
138,Брянская область,Болезни костно-мышечной системы и соединительной ткани,Всего,4066.8,4054.4,4323.3,4049.0,3861.3,3615.9,3664.8,3574.2,3057.4,2705.1,2456.2,2406.2
139,Брянская область,Болезни мочеполовой системы,0-14 лет,2582.5,2548.4,2780.7,2767.1,2953.6,3123.0,3090.8,3022.2,2771.2,2604.4,2512.9,1838.8
140,Брянская область,Болезни мочеполовой системы,15-17 лет,5286.2,4816.9,5682.2,5982.3,6155.6,6221.9,7064.2,6363.3,6848.6,6034.6,6001.4,5003.4
141,Брянская область,Болезни мочеполовой системы,18 лет и старше,3754.1,4226.8,4404.5,4837.8,5153.1,5050.7,5044.3,4863.9,4785.5,4260.8,3871.3,3599.2
142,Брянская область,Болезни мочеполовой системы,Всего,3656.8,4013.7,4231.1,4593.4,4880.2,4819.4,4831.2,4643.6,4546.1,4051.7,3715.7,3358.6
143,Брянская область,Болезни нервной системы,0-14 лет,3999.5,3774.7,4093.7,5129.6,5889.7,5737.4,4871.8,5075.2,5088.1,4539.0,3330.6,2725.9
144,Брянская область,Болезни нервной системы,15-17 лет,3711.7,3420.5,4570.9,5843.8,6221.0,6131.7,6902.3,6158.1,6372.6,6101.3,4632.9,3466.2
145,Брянская область,Болезни нервной системы,18 лет и старше,1288.1,1588.6,1792.7,1770.2,1828.4,1653.7,1467.4,1606.5,1392.5,1178.8,1083.7,979.9
146,Брянская область,Болезни нервной системы,Всего,1804.9,1985.9,2236.3,2403.1,2561.0,2388.4,2137.9,2257.3,2090.3,1830.7,1529.8,1321.8
147,Брянская область,Болезни органов дыхания,0-14 лет,101272.2,98838.9,104866.3,113382.6,122327.9,118109.0,123645.4,123445.7,124121.7,117827.6,116937.0,122771.3
148,Брянская область,Болезни органов дыхания,15-17 лет,54051.8,56832.9,67476.5,67425.4,76973.8,71441.1,75622.5,78692.7,83689.9,90215.4,83778.8,79012.8
149,Брянская область,Болезни органов дыхания,18 лет и старше,15075.2,14799.2,13722.7,15161.5,15671.0,14427.6,15384.9,13707.6,14160.0,14695.3,14105.7,14474.2
150,Брянская область,Болезни органов дыхания,Всего,29645.3,28766.2,28865.4,31000.8,32932.0,31087.7,32944.9,31770.6,32602.6,32686.3,32046.2,33294.4
151,Брянская область,Болезни органов пищеварения,0-14 лет,8961.7,9914.8,10726.3,8431.7,10458.0,11624.8,13311.6,13390.9,14712.2,14645.6,11314.0,10485.1
152,Брянская область,Болезни органов пищеварения,15-17 лет,5350.5,7100.0,7791.9,9278.4,10595.9,7954.0,13914.9,15826.6,15528.4,19189.9,10424.0,10260.9
